Date time,Home (kWh),Solar Energy (kWh),From Powerwall (kWh),From Grid (kWh),To Grid (kWh)
2020-08-01T01:00:00-07:00,15.4,51.0,11.6,0.1,-42.9
2020-08-02T01:00:00-07:00,18.8,68.1,10.4,0.1,-44.6
2020-08-03T01:00:00-07:00,44.7,64.6,29.2,0.2,-36.3
2020-08-04T01:00:00-07:00,41.6,69.7,11.5,0.1,-7.4
2020-08-05T01:00:00-07:00,39.4,69.6,12.1,0.1,-29.4
2020-08-06T01:00:00-07:00,33.0,12.1,25.9,0.2,-0.2
2020-08-07T01:00:00-07:00,21.7,63.5,7.5,0.1,-10.9
2020-08-08T01:00:00-07:00,15.1,31.7,8.8,0.1,-12.9
2020-08-09T01:00:00-07:00,26.8,72.8,10.0,0.2,-46.9
2020-08-10T01:00:00-07:00,38.4,71.0,16.7,0.1,-32.5
2020-08-11T01:00:00-07:00,22.0,65.6,11.2,0.1,-39.5
2020-08-12T01:00:00-07:00,35.3,42.3,21.5,0.2,-9.6
2020-08-13T01:00:00-07:00,33.6,70.4,13.0,0.1,-32.4
2020-08-14T01:00:00-07:00,43.2,70.9,18.8,0.2,-29.9
2020-08-15T01:00:00-07:00,35.6,70.4,21.2,0.2,-27.4
2020-08-16T01:00:00-07:00,92.0,60.8,45.8,6.0,-0.2
2020-08-17T01:00:00-07:00,45.5,68.0,10.3,8.6,-0.1
2020-08-18T01:00:00-07:00,43.2,67.0,14.7,0.1,-17.1
2020-08-19T01:00:00-07:00,37.6,56.3,22.9,0.1,-27.8
2020-08-20T01:00:00-07:00,29.8,46.0,13.0,0.1,-2.1
2020-08-21T01:00:00-07:00,21.8,29.4,12.2,0.1,-6.6
2020-08-22T01:00:00-07:00,24.1,66.2,15.3,0.1,-41.0
2020-08-23T01:00:00-07:00,23.1,66.6,9.8,0.1,-40.1
2020-08-24T01:00:00-07:00,23.4,65.0,11.0,0.1,-41.1
2020-08-25T01:00:00-07:00,21.4,68.4,12.1,0.1,-47.6
2020-08-26T01:00:00-07:00,27.1,67.9,16.4,0.1,-43.6
2020-08-27T01:00:00-07:00,36.6,66.9,21.5,0.1,-29.1
2020-08-28T01:00:00-07:00,39.6,67.4,16.4,0.1,-21.2
2020-08-29T01:00:00-07:00,30.6,39.8,14.4,0.2,-3.8
2020-08-30T01:00:00-07:00,47.7,62.0,27.4,0.2,-26.1
2020-08-31T01:00:00-07:00,22.3,54.4,10.5,0.2,-13.7
