Date time,Home (kWh),From Powerwall (kWh),Solar Energy (kWh),From Grid (kWh),To Grid (kWh)
2020-05-01T01:00:00-07:00,11.2,0.0,0.0,12.4,0.0
2020-05-02T01:00:00-07:00,12.4,0.0,0.0,13.6,0.0
2020-05-03T01:00:00-07:00,10.7,0.0,0.0,11.9,0.0
2020-05-04T01:00:00-07:00,12.9,0.0,0.0,14.1,0.0
2020-05-05T01:00:00-07:00,18.3,0.0,0.0,19.5,0.0
2020-05-06T01:00:00-07:00,29.2,0.0,0.0,30.4,0.0
2020-05-07T01:00:00-07:00,23.8,0.0,0.0,25.0,0.0
2020-05-08T01:00:00-07:00,31.6,0.0,0.0,32.8,0.0
2020-05-09T01:00:00-07:00,36.5,0.0,0.0,37.7,0.0
2020-05-10T01:00:00-07:00,39.8,0.0,0.0,41.0,0.0
2020-05-11T01:00:00-07:00,30.3,0.0,0.0,31.4,0.0
2020-05-12T01:00:00-07:00,15.4,0.0,0.0,16.6,0.0
2020-05-13T01:00:00-07:00,16.1,0.0,0.0,17.3,0.0
2020-05-14T01:00:00-07:00,20.8,0.0,0.0,22.1,0.0
2020-05-15T01:00:00-07:00,20.2,0.0,0.0,21.5,0.0
2020-05-16T01:00:00-07:00,13.3,0.0,0.0,14.5,0.0
2020-05-17T01:00:00-07:00,9.8,0.0,0.0,11.1,0.0
2020-05-18T01:00:00-07:00,21.2,7.1,31.8,11.3,4.3
2020-05-19T01:00:00-07:00,18.6,6.4,58.4,0.1,12.8
2020-05-20T01:00:00-07:00,19.1,12.7,21.9,0.1,6.4
2020-05-21T01:00:00-07:00,22.0,10.6,42.2,0.2,15.3
2020-05-22T01:00:00-07:00,18.8,9.6,36.9,0.1,14.3
2020-05-23T01:00:00-07:00,26.2,11.7,44.4,0.2,18.4
2020-05-24T01:00:00-07:00,28.9,11.8,63.4,0.2,31.9
2020-05-25T01:00:00-07:00,14.4,7.5,14.3,0.1,0.1
2020-05-26T01:00:00-07:00,15.7,7.6,56.2,0.1,33.7
2020-05-27T01:00:00-07:00,25.4,12.6,80.2,0.1,58.0
2020-05-28T01:00:00-07:00,20.5,4.9,66.9,0.1,37.4
2020-05-29T01:00:00-07:00,11.2,6.1,68.3,0.1,56.5
2020-05-30T01:00:00-07:00,7.9,5.0,7.6,0.1,0.1
2020-05-31T01:00:00-07:00,8.0,3.4,33.2,0.1,18.2
